input_text,prefix,target_text,group
You are likely to find ,free-cs,a pencil in a desk,Filling
You are likely to find ,free-cs,a jellyfish in most oceans,Filling
You are likely to find ,free-cs,a jellyfish in an ocean,Filling
You are likely ,free-cs,to find a tree in forests,Mapping
You are likely ,free-cs,to find a shark in any ocean,Filling
You are likely ,free-cs,to find words in books.,Filling
a person wants ,free-cs,sex,Filling
a person wants ,free-cs,friend.,Filling
a person wants ,free-cs,money,Filling
a person doesn't want ,free-cs,to be hurted.,Mapping
a person doesn't want ,free-cs,to be hate,Mapping
a person doesn't want ,free-cs,to be in a war,Mapping
You can use ,free-cs,a cloth to clean,Filling
You can use ,free-cs,a gun to kill someone,Mapping
You can use ,free-cs,a guitar to play music,Mapping
Something that might happen as a consequence of ,free-cs,reading is learning something,Mapping
Something that might happen as a consequence of ,free-cs,having a party is fun,Mapping
Something that might happen as a consequence of ,free-cs,waiting in line is boredom,Mapping
Something you might do while buying something is ,free-cs,negotiate a great deal.,Mapping
Something you might do while buying something is ,free-cs,make quality choices.,Mapping
Something you might do while buying something is ,free-cs,ask for it to be cooled.,Filling
people can ,free-cs,wear clothes,Filling
people can ,free-cs,drink water,Filling
people can ,free-cs,ride bikes,Filling
People can ,free-cs,die,Filling
People can ,free-cs,listen to music.,Filling
People can ,free-cs,talk to each other.,Filling
Something you find at the supermarket is ,free-cs,food.,Filling
Something you find at the supermarket is ,free-cs,eggs,Filling
Something you find at the supermarket is ,free-cs,people,Filling
Something that might happen while ,free-cs,competing is you lose,Mapping
Something that might happen while ,free-cs,competing is you lose,Mapping
Something that might happen while ,free-cs,going jogging is sweating,Mapping
Something that might happen when ,free-cs,you tickle is laugh,Mapping
Something that might happen when ,free-cs,you skate is falling down,Mapping
Something that might happen when ,free-cs,you relax is sleep,Mapping
A person can ,free-cs,laugh at a joke,Mapping
A person can ,free-cs,wind a clock,Filling
A person can ,free-cs,voice an opinion,Mapping
You are likely to find a ,free-cs,hammer in a toolbox,Filling
You are likely to find a ,free-cs,hammer in a tool box,Filling
You are likely to find a ,free-cs,launching platform in Florida,Filling
A person doesn't want ,free-cs,to be fired.,Mapping
A person doesn't want ,free-cs,to pay taxes.,Mapping
A person doesn't want ,free-cs,to be rejected,Mapping
Something you find on a pizza is ,free-cs,tomatoes.,Filling
Something you find on a pizza is ,free-cs,mushrooms.,Filling
Something you find on a pizza is ,free-cs,pepperoni.,Filling
Something you find at the gym is ,free-cs,weight machine.,Filling
Something you find at the gym is ,free-cs,a treadmill,Filling
Something you find at the gym is ,free-cs,barbells.,Filling
Something you find on your desk is ,free-cs,pens,Filling
Something you find on your desk is ,free-cs,a stapler.,Filling
Something you find on your desk is ,free-cs,a telephone,Filling
You are likely to find o,free-cs,a snake in a zo,Mapping
You are likely to find o,free-cs,a gazelle in the zo,Mapping
You are likely to find o,free-cs,a gazelle in a zo,Mapping
Something you find in a building is ,free-cs,the floor,Filling
Something you find in a building is ,free-cs,a door,Filling
Something you find in a building is ,free-cs,people,Filling
Something you find at the doctor is ,free-cs,stethoscope.,Filling
Something you find at the doctor is ,free-cs,nurses,Filling
Something you find at the doctor is ,free-cs,an examination table,Mapping
Something you find at an airport is ,free-cs,an airplane,Filling
Something you find at an airport is ,free-cs,a plane.,Filling
Something you find at an airport is ,free-cs,traveller,Filling
Something you find at a park is ,free-cs,grass,Filling
Something you find at a park is ,free-cs,a slide.,Filling
Something you find at a park is ,free-cs,frisbees.,Filling
Something you find in the fridge is ,free-cs,food,Filling
Something you find in the fridge is ,free-cs,apples,Filling
Something you find in the fridge is ,free-cs,eggs,Filling
Something you find in a laboratory is ,free-cs,a researcher.,Filling
Something you find in a laboratory is ,free-cs,a mouse,Mapping
Something you find in a laboratory is ,free-cs,scientists,Filling
